classifier,population_size,workers,time,time_std,ptime,ptime_std
SVC,8000,2,3.4788171940483155,0.03300954067044,2.9110100730787964,0.0196059221508952
SVC,8000,4,2.1768192050047217,0.0573281892280235,1.5743189820554109,0.042869688314818
SVC,8000,8,1.7278791654389352,0.0815992773659979,0.9569131183438004,0.0464477995657613
SVC,8000,16,1.6145345141645522,0.0895272401610045,0.7368243136443198,0.0658957788395198
SVC,8000,32,1.6857055973261594,0.1020134654272503,0.5351982144173235,0.0811254471944623
SVC,16000,1,10.972155794082209,0.0232956033015819,9.86645261561498,0.0283311199956638
SVC,16000,2,6.972875564638525,0.0549687889575457,5.787247565854341,0.0502907538002139
SVC,16000,4,4.409748646244407,0.1284434970274878,3.1853001025505363,0.0959608487076193
SVC,16000,8,3.3214653946924955,0.201284887011561,1.9292832776438444,0.1053465300536781
SVC,16000,16,2.803912277612836,0.1697588265617693,1.283837223285809,0.0651583889641576
SVC,16000,32,3.025383367110044,0.3225202529988603,1.0903582669328895,0.1490360974197235
