samples,features,classes,clusters,seed,population_size,point,class,target,model,max_distance,mean_distance,distance_std,min_distance,accuracy
10,2,2,1,0,8000,6,1,1,MLPClassifier,0.0155409321895575,0.0083435310520812,0.0043026088736583,0.0001886955459588,1.0
10,2,2,1,0,8000,7,1,0,MLPClassifier,0.0941418017947973,0.0806385402744266,0.0073850499566779,0.0696867195486355,1.0
10,2,2,1,0,8000,7,1,1,MLPClassifier,0.0178992922695853,0.0099086669348222,0.0048144296124385,7.394622714707033e-07,1.0
10,2,2,1,0,8000,8,1,0,MLPClassifier,1.0870151773443122,1.0832194931131327,0.0018381589201218,1.079961652067256,1.0
10,2,2,1,0,8000,8,1,1,MLPClassifier,0.0153633152692505,0.0082798471277616,0.0040984466577087,7.394622714151922e-07,1.0
10,2,2,1,0,8000,9,1,0,MLPClassifier,0.0679242621098375,0.0510048095231187,0.0094696226987353,0.0372795581310932,1.0
10,2,2,1,0,8000,9,1,1,MLPClassifier,0.0154555109869194,0.0084173425036182,0.0042313023389553,7.394622714429477e-07,1.0
10,2,2,1,0,16000,0,1,0,MLPClassifier,0.6520558085483733,0.647720297702912,0.0021981077228904,0.6446362261425794,1.0
10,2,2,1,0,16000,0,1,1,MLPClassifier,0.0143590765427711,0.0078129795190334,0.0040312641091353,1.4944993004029072e-05,1.0
10,2,2,1,0,16000,1,0,0,MLPClassifier,0.0141374413078165,0.0079484053537818,0.0039919583736539,7.394622714151922e-07,1.0
10,2,2,1,0,16000,1,0,1,MLPClassifier,2.3048099237756787,2.298167794638441,0.0038582470664927,2.2905738645331475,1.0
10,2,2,1,0,16000,2,0,0,MLPClassifier,0.0152192279482492,0.0082834397265102,0.0041255456945803,1.4944993004029072e-05,1.0
10,2,2,1,0,16000,2,0,1,MLPClassifier,1.1946183312240544,1.1905528023500112,0.0027283740496619,1.1751796874818394,1.0
10,2,2,1,0,16000,3,1,0,MLPClassifier,1.3272612232381276,1.3240401905368884,0.0015641851641415,1.3215306402916698,1.0
10,2,2,1,0,16000,3,1,1,MLPClassifier,0.0164353635260662,0.0092644694695966,0.0045917220488645,7.394622714151922e-07,1.0
10,2,2,1,0,16000,4,0,0,MLPClassifier,0.0137255246546561,0.0073208758870554,0.0038145834188603,1.494499300397356e-05,1.0
10,2,2,1,0,16000,4,0,1,MLPClassifier,0.4830905707642183,0.475935685960651,0.0035452084730968,0.4713904026137553,1.0
10,2,2,1,0,16000,5,0,0,MLPClassifier,0.0145338695481495,0.0080312508341123,0.0040184570818229,3.311512182402332e-05,1.0
10,2,2,1,0,16000,5,0,1,MLPClassifier,1.95249530238576,1.94848997250611,0.00506101085038,1.9250290576876048,1.0
10,2,2,1,0,16000,6,1,0,MLPClassifier,0.4777187068384119,0.4715286961622053,0.0029119820441381,0.4677793903773261,1.0
10,2,2,1,0,16000,6,1,1,MLPClassifier,0.0140264245452737,0.0076534678103002,0.0038704465776099,3.320282582580658e-05,1.0
10,2,2,1,0,16000,7,1,0,MLPClassifier,0.0971176205407865,0.0824748693886317,0.0076435187365729,0.0718973760772327,1.0
10,2,2,1,0,16000,7,1,1,MLPClassifier,0.0152691680821315,0.0082862130787216,0.0043146193536679,7.394622714707033e-07,1.0
10,2,2,1,0,16000,8,1,0,MLPClassifier,1.0826269228178,1.0792423286299648,0.0016843400691072,1.0765468692706777,1.0
10,2,2,1,0,16000,8,1,1,MLPClassifier,0.0148231322549512,0.0082304226645103,0.0040869121595687,1.4944993004029072e-05,1.0
10,2,2,1,0,16000,9,1,0,MLPClassifier,0.0624042651128766,0.0450282164621078,0.0094476894334071,0.0313121987775023,1.0
10,2,2,1,0,16000,9,1,1,MLPClassifier,0.0168834702131701,0.0091362498578426,0.0046497099133396,1.4944993004029072e-05,1.0
10,2,2,1,1,1000,0,1,0,MLPClassifier,0.254794086450652,0.2389520625757456,0.0066514137507329,0.2316960561412231,1.0
10,2,2,1,1,1000,0,1,1,MLPClassifier,0.0300841204141369,0.0147392835123079,0.0092681022670676,0.000677439200293,1.0
10,2,2,1,1,1000,1,0,0,MLPClassifier,0.0283897189770617,0.0130014097993499,0.0082708670812662,0.000677439200293,1.0
10,2,2,1,1,1000,1,0,1,MLPClassifier,3.033002562336256,2.953622066626921,0.0434076052624617,2.899135624369636,1.0
10,2,2,1,1,1000,2,0,0,MLPClassifier,0.028244674465377,0.0128207044079808,0.0078119335413146,0.000677439200293,1.0
10,2,2,1,1,1000,2,0,1,MLPClassifier,0.7009762238480816,0.6561681240843111,0.0216944897137283,0.621130450314384,1.0
10,2,2,1,1,1000,3,0,0,MLPClassifier,0.0296677533958443,0.0142653569761046,0.0090533961114266,0.000677439200293,1.0
10,2,2,1,1,1000,3,0,1,MLPClassifier,2.014110550689962,1.995243789330508,0.0092117392599638,1.982720360027324,1.0
10,2,2,1,1,1000,4,1,0,MLPClassifier,0.1972475303955694,0.1834049496981435,0.0064014642420294,0.1746966055068168,1.0
10,2,2,1,1,1000,4,1,1,MLPClassifier,0.0323627394344916,0.0162798071900673,0.0101543339144543,7.62968988432533e-07,1.0
10,2,2,1,1,1000,5,1,0,MLPClassifier,0.3336902266184371,0.329750025117391,0.0017561191485138,0.3279116761996736,1.0
10,2,2,1,1,1000,5,1,1,MLPClassifier,0.0313537953444667,0.0157340898862735,0.0094394156787713,0.000677439200293,1.0
10,2,2,1,1,1000,6,1,0,MLPClassifier,0.2086373507222834,0.2024945719642487,0.0026829623686858,0.1994883160007678,1.0
10,2,2,1,1,1000,6,1,1,MLPClassifier,0.0291893161978662,0.0152117222670133,0.0087744396618114,0.000677439200293,1.0
10,2,2,1,1,1000,7,1,0,MLPClassifier,0.2059426725839515,0.1880584117145056,0.0087947204960515,0.1787405692188926,1.0
10,2,2,1,1,1000,7,1,1,MLPClassifier,0.029784365283145,0.0158049049340189,0.009164482303674,0.000677439200293,1.0
10,2,2,1,1,1000,8,1,0,MLPClassifier,0.2576544366436653,0.2533489129721479,0.0032399589025781,0.2457895760709345,1.0
10,2,2,1,1,1000,8,1,1,MLPClassifier,0.0289962380820954,0.0142279382268361,0.0080254254179926,0.0017833898270644,1.0
10,2,2,1,1,1000,9,0,0,MLPClassifier,0.0291577316501631,0.0141923304587088,0.0088971174129141,0.0006073241551338,1.0
10,2,2,1,1,1000,9,0,1,MLPClassifier,2.959947070255104,2.9379121885626227,0.0103495634964146,2.9177703391878085,1.0
10,2,2,1,1,2000,0,1,0,MLPClassifier,0.2454909648807124,0.2302169788526963,0.0080866176512276,0.2210312691089839,1.0
10,2,2,1,1,2000,0,1,1,MLPClassifier,0.0272790343418559,0.0136678244749359,0.0076614628610063,0.0001124525532303,1.0
10,2,2,1,1,2000,1,0,0,MLPClassifier,0.0278795507404008,0.0141366361709831,0.0082515069831711,0.000219667878631,1.0
10,2,2,1,1,2000,1,0,1,MLPClassifier,2.621273529755932,2.5956274969931075,0.0153893520411314,2.551509907863914,1.0
10,2,2,1,1,2000,2,0,0,MLPClassifier,0.0284959603787815,0.0140040434265011,0.0082948937204789,0.000677439200293,1.0
10,2,2,1,1,2000,2,0,1,MLPClassifier,0.6661976828992496,0.6465010285511923,0.0124718070857156,0.6244607777387678,1.0
10,2,2,1,1,2000,3,0,0,MLPClassifier,0.0291763444324706,0.015625460107775,0.0088306790696441,0.0001124525532305,1.0
10,2,2,1,1,2000,3,0,1,MLPClassifier,1.99362936956688,1.9809993282392684,0.0067954986749264,1.9693948009936173,1.0
10,2,2,1,1,2000,4,1,0,MLPClassifier,0.1990012463241476,0.1818337885245093,0.0087632415922522,0.1694529627431145,1.0
10,2,2,1,1,2000,4,1,1,MLPClassifier,0.0291789965952058,0.0149768378084741,0.0081985537503664,0.0001124525532303,1.0
10,2,2,1,1,2000,5,1,0,MLPClassifier,0.3255876939689429,0.3115404628252399,0.0068250068421743,0.3030293598426898,1.0
10,2,2,1,1,2000,5,1,1,MLPClassifier,0.0302920731857856,0.0157132382621418,0.009146115275074,0.0002528818080573,1.0
10,2,2,1,1,2000,6,1,0,MLPClassifier,0.2577661453875616,0.2426284697347809,0.0076623474652055,0.2325427145135981,1.0
10,2,2,1,1,2000,6,1,1,MLPClassifier,0.0291763444324704,0.0149000876764024,0.008140071489836,0.0002002553828506,1.0
10,2,2,1,1,2000,7,1,0,MLPClassifier,0.1940742752968405,0.1769606487642806,0.0087368341559613,0.1669688081752058,1.0
10,2,2,1,1,2000,7,1,1,MLPClassifier,0.0296866088364291,0.0159425203439009,0.0090265902706214,8.498577040816357e-05,1.0
10,2,2,1,1,2000,8,1,0,MLPClassifier,0.2964773604343994,0.2871775866594401,0.0045956448695948,0.2791446559054533,1.0
10,2,2,1,1,2000,8,1,1,MLPClassifier,0.0295543777508995,0.015476230794847,0.008887651525092,0.0001124525532303,1.0
10,2,2,1,1,2000,9,0,0,MLPClassifier,0.0278055821465267,0.0142763147529242,0.0084432849201795,9.88170287929968e-05,1.0
10,2,2,1,1,2000,9,0,1,MLPClassifier,2.9187752667387743,2.891923397117326,0.0146061760988547,2.867199250492667,1.0
10,2,2,1,1,4000,0,1,0,MLPClassifier,0.2454805167655014,0.2288245305007717,0.0082840885449172,0.2193795521724058,1.0
10,2,2,1,1,4000,0,1,1,MLPClassifier,0.0251676856303,0.0128642061501697,0.0070955083482703,0.0002780496408554,1.0
10,2,2,1,1,4000,1,0,0,MLPClassifier,0.0255926741690511,0.0141112970894405,0.0073441268397634,2.8440930002648912e-05,1.0
10,2,2,1,1,4000,1,0,1,MLPClassifier,2.620781897832434,2.5938169268811944,0.0149700225985577,2.5653539413819075,1.0
10,2,2,1,1,4000,2,0,0,MLPClassifier,0.0243923178003698,0.0135956514669463,0.0069797576405297,0.0001052676158339,1.0
10,2,2,1,1,4000,2,0,1,MLPClassifier,0.6476573655385607,0.6216463910482097,0.0147104009076316,0.595458878885527,1.0
10,2,2,1,1,4000,3,0,0,MLPClassifier,0.022880759778459,0.0123894701607911,0.0066436046598971,0.0001622859980687,1.0
