samples,features,classes,clusters,seed,population_size,point,class,target,model,max_distance,mean_distance,distance_std,min_distance,accuracy
10,4,2,1,0,2000,5,0,1,MLPClassifier,2.189317997754077,2.17081369017427,0.0107979910244475,2.1533315813137905,1.0
10,4,2,1,0,2000,6,1,0,MLPClassifier,0.1349466791049398,0.1062879072410193,0.0145694507249186,0.0813623097371664,1.0
10,4,2,1,0,2000,6,1,1,MLPClassifier,0.0340322637661455,0.0175633561457079,0.0098171756184318,1.2189714686750008e-05,1.0
10,4,2,1,0,2000,7,0,0,MLPClassifier,0.0246735561163087,0.0128433379127833,0.0065487578176064,0.0002990818772292,1.0
10,4,2,1,0,2000,7,0,1,MLPClassifier,1.0689130383757086,1.0546669947071614,0.00919176079883,1.0344687563840531,1.0
10,4,2,1,0,2000,8,1,0,MLPClassifier,0.644682492361658,0.6232242608177815,0.0133719780238135,0.5994943359159886,1.0
10,4,2,1,0,2000,8,1,1,MLPClassifier,0.0466688364497826,0.0232558514379353,0.0121344274976077,0.0018472378816376,1.0
10,4,2,1,0,2000,9,0,0,MLPClassifier,0.0752462192393161,0.0399274441525734,0.0213244625682767,0.0014958477061859,1.0
10,4,2,1,0,2000,9,0,1,MLPClassifier,3.5123666328517453,3.4955549366849605,0.0098079837540957,3.4812932105942007,1.0
10,4,2,1,0,8000,0,0,0,MLPClassifier,0.0226174090049235,0.0123242087502167,0.0064394362619318,0.0001623214676826,1.0
10,4,2,1,0,8000,0,0,1,MLPClassifier,1.6312660541694828,1.620309691913434,0.0060646210555344,1.6119043381628375,1.0
10,4,2,1,0,8000,1,1,0,MLPClassifier,1.5505330541591258,1.5362728541671766,0.009500744922941,1.5175174502615365,1.0
10,4,2,1,0,8000,1,1,1,MLPClassifier,0.029397680280093,0.015742100312231,0.0082915487360948,2.9977256302604616e-05,1.0
10,4,2,1,0,8000,2,1,0,MLPClassifier,0.794174175420223,0.7713872003278556,0.0131841746686869,0.74914270679783,1.0
10,4,2,1,0,8000,2,1,1,MLPClassifier,0.0341248681096495,0.0183765901357038,0.0097912156610638,0.0002135447120172,1.0
10,4,2,1,0,8000,3,0,0,MLPClassifier,0.0228041410276741,0.0127744578300774,0.0065354777732752,6.019849983118775e-05,1.0
10,4,2,1,0,8000,3,0,1,MLPClassifier,1.8584541182520573,1.8467376129323851,0.0067269223624073,1.8359853199121103,1.0
10,4,2,1,0,8000,4,1,0,MLPClassifier,1.0821715463275696,1.0605719264596258,0.0134340895383054,1.032819118328141,1.0
10,4,2,1,0,8000,4,1,1,MLPClassifier,0.0321576335722988,0.0161710430118527,0.0091407048336828,3.757252983094261e-05,1.0
10,4,2,1,0,8000,5,0,0,MLPClassifier,0.0304893324541333,0.0156815317313099,0.0087105610298883,9.186283934914384e-05,1.0
10,4,2,1,0,8000,5,0,1,MLPClassifier,2.266156789615334,2.2521156940413145,0.0098056885913975,2.2328549081864835,1.0
10,4,2,1,0,8000,6,1,0,MLPClassifier,0.1588383918068805,0.1382409666521946,0.0130819544353625,0.1104755514944595,1.0
10,4,2,1,0,8000,6,1,1,MLPClassifier,0.0274812827440517,0.01531288969739,0.007602542360734,2.9452209864055945e-05,1.0
10,4,2,1,0,8000,7,0,0,MLPClassifier,0.0188827240826695,0.0103471663699309,0.0052092726134288,4.964595105150238e-05,1.0
10,4,2,1,0,8000,7,0,1,MLPClassifier,1.0240759965168484,1.006795772081733,0.0105515010325894,0.987182253768563,1.0
10,4,2,1,0,8000,8,1,0,MLPClassifier,0.6554949474742275,0.6398137428422163,0.0093934620188953,0.621914730621397,1.0
10,4,2,1,0,8000,8,1,1,MLPClassifier,0.0415884521239137,0.0213343059583943,0.0115664524427321,9.722706261361402e-05,1.0
10,4,2,1,0,8000,9,0,0,MLPClassifier,0.0675896370709229,0.0344546971364597,0.0184593993157587,0.0001440558987608,1.0
10,4,2,1,0,8000,9,0,1,MLPClassifier,3.483543181974641,3.469435019124891,0.0088168301207624,3.4516329856385783,1.0
10,4,2,1,0,16000,0,0,0,MLPClassifier,0.0187452646290309,0.0098194870633,0.0050543380336935,1.75341595989309e-05,1.0
10,4,2,1,0,16000,0,0,1,MLPClassifier,1.6823294412778254,1.6680858015446296,0.0081982707049746,1.6538925072086392,1.0
10,4,2,1,0,16000,1,1,0,MLPClassifier,1.215774526398173,1.2064683194093968,0.006049259453944,1.1943503596913865,1.0
10,4,2,1,0,16000,1,1,1,MLPClassifier,0.0268871329570845,0.0135942538700685,0.0076624209446186,7.417491702343959e-05,1.0
10,4,2,1,0,16000,2,1,0,MLPClassifier,0.8484998394178148,0.8280477984990381,0.0122657280747895,0.8033571824625888,1.0
10,4,2,1,0,16000,2,1,1,MLPClassifier,0.0359658243480648,0.018915538776567,0.0105530137878096,1.2128820203183288e-05,1.0
10,4,2,1,0,16000,3,0,0,MLPClassifier,0.024066997210017,0.0132492703141759,0.0064506156844357,1.338093898795023e-06,1.0
10,4,2,1,0,16000,3,0,1,MLPClassifier,1.882490202973576,1.871568803192516,0.0063360384063795,1.861553036511173,1.0
10,4,2,1,0,16000,4,1,0,MLPClassifier,1.049830820833488,1.0274965713676425,0.0133667048274736,1.0016827085858204,1.0
10,4,2,1,0,16000,4,1,1,MLPClassifier,0.023415841717993,0.0126756440069888,0.006216030055771,8.135154776489628e-07,1.0
10,4,2,1,0,16000,5,0,0,MLPClassifier,0.0260924120782458,0.0138403049239118,0.0075118500072817,2.2052536270411598e-06,1.0
10,4,2,1,0,16000,5,0,1,MLPClassifier,2.289236779105983,2.2699056397891275,0.0115705684641799,2.2476441445429822,1.0
10,4,2,1,0,16000,6,1,0,MLPClassifier,0.1239627127595712,0.1021096541638142,0.0132842972296404,0.0779704935671704,1.0
10,4,2,1,0,16000,6,1,1,MLPClassifier,0.0243499115061644,0.0130309349099909,0.006932906404141,4.965718572713662e-05,1.0
10,4,2,1,0,16000,7,0,0,MLPClassifier,0.0198397363384795,0.0102102498667308,0.0056478628401943,4.5620173777738415e-05,1.0
10,4,2,1,0,16000,7,0,1,MLPClassifier,1.0336598895244589,1.0263227896565588,0.0046610651021314,1.0166078320191594,1.0
10,4,2,1,0,16000,8,1,0,MLPClassifier,0.5832025608672516,0.5661393972204474,0.0103796880740866,0.5475139595704657,1.0
10,4,2,1,0,16000,8,1,1,MLPClassifier,0.0343962624812087,0.0177941922009363,0.0097249278167719,3.28276838694741e-05,1.0
10,4,2,1,0,16000,9,0,0,MLPClassifier,0.0582902132362231,0.0300754812476343,0.0166125938488746,0.0001662355867919,1.0
10,4,2,1,0,16000,9,0,1,MLPClassifier,3.558345492795726,3.545913992654458,0.0075310042433668,3.5307243731069176,1.0
10,4,2,1,1,2000,0,0,0,MLPClassifier,0.0267305976948333,0.0141418910746671,0.0078884447636443,0.0001587577109738,1.0
10,4,2,1,1,2000,0,0,1,MLPClassifier,1.193381810350257,1.185802901017725,0.0036483649282873,1.1813234703562925,1.0
10,4,2,1,1,2000,1,0,0,MLPClassifier,0.0475496725862659,0.0232912323741498,0.0130779405004666,0.0001289766345775,1.0
